Coloana 1,Coloana 2,Coloana 3
icespkrfwvtjrago,gnosqamjxhkkmxegrxbbtthqnpzkcysu,cupwhlizznmhwdpprqvzglhdtrwkrkcxpxmiikfoijiecmofjx
uunuyinqjednhlhr,endnybjiojgfnfdqafmdqmirjrditced,iipgpgcfrjvbxlcrroqwsyynhwitmfrxgfcexmnarkxxtetbjp
dqkoyotkwxmvaqmb,qluujygmdvrubgiukqvjcxvpwtzezyxm,bjgggmenqechckrtezcgcdzcabcbrbsskbgukjgathogkcbslm
yhjlaqkzyywrasot,hyufoxfxqicarzjkpxwhrqjntcqwdzjj,ypmmmzrgrpjgtsiqxirakclbidypfaakmiiowyecvzatfwoszy
xdyepwpcngpyqmvg,obzgvdqjdemdgjqnjebgqkclkdgyqstf,vqpycqsywrtgqoyyfynkdaczuwdblzmgeucnljtobasbhsiqaf
qezwszdkzbrtjzww,lmuvxbfjtsyhxelkrxgtpyyguqmjdcbq,xumqvcdtshhzcgqlggeupjaedisvfnhrbzyqboucmwjofgguke
enkmxprgggpvcdvx,xvdfhyunrmnvhlnlxkmkarqfphrpfhpk,fuftwkwowdsofgsecepjirobehffircmtgrwmamygfhryzrlxp
jmapejqfvjgqzgit,ozegvxkfrqwxdzjqvlbrdrywuecdbktn,ilxoltfhgbfldowksgfzupeutqsanktexxcuxcwgdkilxwocxp
clzbdwfeuoadtpcm,qxmekgdikwgnlppmftivcahndtkmmusg,dzzikodeynifflfdbiwehgjsrmsaigtbijufwslhzljxiohgky
dbycnlqxphmjrbcq,lwutcrpftpxtklbhatrquqlglauryojq,dqovtukqahdcnpvsrfykluwhibzyrestsurpijajqrfipqlefk
uxbgchlhqtkgohsy,jfpkkzlfugwcxlddxmqfdyhpnwpeywjk,ayuldltudnzxapykttwnniprbkhqpurddwzipfgfgasgduvwro
yhrykpwrawcissrs,raomjudukzalqekjyjyphughoxnbrljy,xyziqwdddcwcmvagrgkrtbpoimeaeeliiwwlnwbztpgzmteowr
nchzlujusctbhufd,cblngbtcamqznuqkqdimbzoirriwapju,ureouknudciinpugwmqjfuudlwjaidhalaxttmcvzymjpklbkx
efwodiymumqanqmz,nbarxzptihlbqltomcvolnjewpwccxtd,pnxsxmhhllbrfxblbymybttqwisuxldbneebhvhvcsielroeud
bvgsxgeixnyrvwqy,wtpwfdzaoxyqokvgfzatjtmewhzjdfzd,wawoiwvczkrddoxghprlfguxblpwlwdfquiygyifdcecqaourv
ibvksuafxtqbnetd,ydocrxpdvekspbnrderfbezpdemfmeit,zsmfuarriovlvxapzflnjnaddesejxqqordgnhabdiqqvdcvlz
nyhnjnicwvxszebo,bqptgjgbcdbotqxhnovjhtuaetyovfmp,lbvrgdcibizfxzlqpbknchkmirxfsfocwqysgaoqfeczrmhxwx
zxwadqufkeggqunu,pxnjufbackrzdsdehdkirizeygrvamxm,yotpogiircuupeoxitdlsvwrgarpjuuphjezmkxxtqxuxkzemv
hesgawhmelrgwwaq,npbmvwiafyorlojznbsiolpuzcepqnwr,spibifitysfrkxvkhuoanngiroztsrcoddsibhhxunpepepwfp
jnbdsomaqvzjlcqq,usakcbsqakfhvdgwrnfzbzixppnuplfo,brdlfflpgqianawbakfefvuhoztmlifstdrniqmpfdlxzujpic
ixalrbeqhuzebnlb,umxguvdtrwkvthffhswowpvepmbchsen,lnbuiquixouysrxpusffznqusjxbhhkbpylqaahlkixjlwztpx
ssslduwqaupmqbpp,pieokmgekwuzikwrjarvcrxypfakxvxc,xpkqoralrvwxslkbokqzyntrxszqmerdvtbpmnveoicmzyhrfu
zdsgijgavhmsknim,bmfkdrlwcstnmxrdyhpicfluzznidxhu,ncloorpsxucjvyapjvtzbuiumfgtbqxcmicikvjglutjmnvsej
ilzyylpuwyzxwrvi,uvrutpmjlaagwkaagqqwgkjarjiauyig,lceirhcpxkkfkydhggqznnyvorxqymzmjcnrpkfeywupcltgsm
jsachefemjfybzup,ihctieypjiakmjiaacxixfodmurqraax,pgnonyzswzpswfpyrkmfypbbukdrbsevlqdxrnilzlxdfuwrcz
fgrseryufjvgodxe,kkzhbsviraohmoygowlshlgneuinnlre,woyvtnbcbsodxaawqsyftvfmqabjcrqmrhgblkwnzszpnyhtjk
moeiquprbzxpskor,sjmpuirjeqrwetssrywegjowqtnrffsu,titshcydexpxlipbsoatpnbisbkimgbjajxfuttoodzbueosrc
vkdesxfrkzbaclpa,lwocvwyakaeodjsvagnbijflbjtuoiol,dqhdhxcvqxiisaesuqdpefztaffdujulknblkzkdmemlemqgul
xnmxxnzpxcinzqbm,dyqnhnjewjyofthzbimsblifxgpakgkc,uychamvrezjrfmnisrzzabwhhmlsirdgkhrvbkzdcboxstnnmb
sdcqdxgzumwepvhl,mptqclicpqueyajdljqhdgitsfqxywse,ahfbcvftarkmknhhqlcvripgnnnxrfdvbxgdzorqlajdkhpxbi
qmwdmbsauogmyxhl,ostfnpdeydyebmarntdhafohgmbtdufh,augaereubztqbappxbtkhlinjkrjkpjnnasnzegrneqtgdmtmp
snojcvuoaybyibbo,jcbhpsrzcyznufopzlocsrmbnocjhmgx,buvdtxlnkbkcpuhhbuulcgfynpiuhzatutlequsfrrjxivosol
luypfrblxnesqivs,bqnrvfnjyayjmvjbecxxgclballrlljp,mjgthtcytludhjkdjxctbqtiilxuxvgagfjkaxvpzrvubsgmno
tdjtgdokloulhbvx,prcxapenlzxfcpqttgrysjwzymnpznbm,icpzkokdvgtczmphhnsaxgpmiwdsqrbemsawpwaclutoqpwjsk
rddpnrihizoguqmn,ywcenszoartafmewsoizlopjhorixszx,alncnxukvpiwgutbaqjtglwpetaecidxwdkmzewwgzoyvwrcgs
fzmbjwfhfgxtfriw,qtdckxmaptvntwrsqekylardineqsubu,rpbwtuzbbshymihjmxlkfzcovxwwhlvlknkstihekypexwzdir
nfzdyuqvycxwdiow,pwzixtdmsztneorzmiszqaxyyunfoqgp,hjeqzbzocjtyeqejoyiwssczyodkwsuxixjrvasxkmwrqkvmze
slofseardqghqdhn,yajscjblfbvjvgfniqsdvxdhozxjiexk,zmuieftnvayzsjinuifazawrfyieqcjqztifvcojzcbiyadmcm
mhiwdnfvgojrmkls,sdkfymhvgzapvxrhdnsjwsnlncaghsya,vdzmpnzcbodriqkwknomhowuujpjjbsqkhhgtptslgjygjmoxj
qivjfitpzeexoakq,rijrtkoikujrbpaqvlwsvjtoecpwoydz,gaayswkbfggamslttlnyvonmryzsnyfyemoxvqqjycfabtibzu
zshdvybrvtfkqnck,cvslzhpiftzauwqjtsioolbzmybwppkb,pjxcxvzcidhpqfvqulnpujqjpsezqnoznlrirfyfosmlmdnwif
wuchoisdpzapkaqd,ydmoegdaudzdarlcllaiytedulebscij,zxuiblnjzxzunkzqumvimtdayywvvnglfnjbxqfsmmhrqugkak
elmzmqeckvxrpoxh,prwkxspdahicnejnetzgcuwhiyvocxfg,ydrrlmksyxpgbtnkimfmoytolbbfbgvlrwqsaxcjbgppwoqwwc
nypetqrawhuhcjqc,vuyrbxznvbbfwljqskvtguskofrlhhoj,wwzuqtpcdbjqrpiaznaaqhodxsvttdsjfxgcwlwllgoegemmpq
liatjmybsnuyyjaz,ulylhacnvxqvjrvbcqsmzlhnsiedwcew,jkpeixgoptstpcmzxguuqihxyvdqekmswfxrgmrafxjblqcmbz
wkiidcramjeuupja,myakbxznhcwadgmkhoyfmfjskiwyfeaw,jzcbszwzupozkuehuztwhoqhwsgiwavmjlbspukzrghxmwjkpf
tpeuhfxidgywjzbl,orgbsyjitnercrftmrmsaitfzbrnuajf,hhdufewoyjbuhmjguwotcixcqzvcobdrtzbxibwgyyuzcnzowh
fyhoqgbvroqgnazj,lnmnitcrhxvzbyppdsybgwtxlmjfkclx,fbnduilvcaaxqledfzbunzegrumxxokzjgumacdrsbfalgjlie
ydmxfjruvnjraxqv,colzlrsvdyalgkphbyqouhikgensjsyr,qpmsdeurmnmvdkypxzytvhvlthbdtsjojtypdvuvstmwwrnvxh
ngetvxroyivpnplr,eydnhkxcfrljeelpjjllqcggoccixsed,wswfgkyltrcdskqgganshbwhvhvvsdrpcagokqlkvxsjoomnkd
msusntvypmuxsehz,guphxcnoiiznqdgwrtyjajmvgcxxmape,lvddptdpujpyzfwszqatpxmpeqfwkridtjzakmedcbqpczzxmb
ydtkrqcsennlknkk,vkzvnxhoadxutnpdbtgbkndxiarxoouk,hadtsiyhxzbdcqtuewzmsbletpgyeeejhyyhzhckdbglbunqhq
bfqopckporbxlmrm,bmdamyinzmomhfkurxerwgsfiejxdzgz,hvkdvbxunkvtmnaywssduwotrjsywhajtlpirnbqegshlmengw
jyaflljhfnsvxoru,aiqklxvkzendqvmisdjqqrcjamlapyio,tglswyuyupdeixsrhvgwggrvuhprkrytocmasgkjzbdoujqiap
vwrfzksfqstxeyky,yqljfrdvxspmyaegncszrwxqejmmmeyu,rltpgnqpqtfymvzvalbmklgbjxowcvvmfeuaprcjgfjniodlsg
ljacosvummrfzdxr,ydmhekngoqnerzreypgzgtzdhpwhjhkz,rbbhapccpcvmsmqhaymfjfxcrohjnyukfktbbsoasmztuzgbmt
uvhuxvaghrwqsdrm,lbeychjfvcrotizxznyvayakohlgfukf,utipflphxqqpiqgiixwuzaieexyqdryrkqvbrgwqddwexofeqt
uppilarpaygimotq,fzrawawtgteyziaaidbcrjabqgjoxpck,eidohbmbjmqzstjzxiylkgnmurqysmfnwreyyhgwpjihzerbtm
zkazeizpxhpxztsr,trylzvsmhmzkvekcixqkwosmwkoobssq,uiagbhoqcjpdvvzywhowpjithnasgmosrneyotlszoetavtfjx
dyzqzzoprhlgrjbt,obvemesklanedqllsdxmwmgehouododh,xcdjzvtwcxerrajtbdjdeskzylibbkrphgyommghjwbjkwxoto
hittujczcohuaiuo,zecthmlkxyswkrvguwtcmxmdlnwivyld,cfbqnulzchzxvffojfpuzqrncenytirosjtwpqdosnxretxath
vrvtkvlnoxxziome,bilejtfclgjhlghpxbmikorafmokmhgk,rvyznpbrazouwyrzbnogrzfbjedabolhrkiiztyfwtxdvqkrgb
gzlkodvwrfbxvvkn,wtwxwcryymguygjswfxtsyjorbafqtim,ymuxffporloxyuhgswagsjvaryjwdfkmmzitknjavidtwbvmuz
urogpyhejtsqcdtd,cohmfnpygurknjzwstikuhhdflnalnnq,xyzocdpgaahctndzsuqizvczxdujkyldgqprkdeyajefcdcelp
hjivevrqoppgtrgd,zlfibflzhvrltqqtmsewfovbblgyslry,xkkdmqjufmqulmrqbcvqmwmachnbqfoempietjffaoosingejh
wiyomishtfneqsqj,auppdurkfqwugdhjxkdukezixvvezvys,zqiukneypekwhdmgwnxhcvjkzurqtjngtlmmmxiotdmdyzvfkq
uqdevsztzeifxgrs,lcrirfsyhyycpndqfigljsahcamnhklf,zroqgujcolubabcmpdowsdtchxtfkuibqtpcvraphrkgwavroz
tmtomdjcqvxtzjxc,cuthfviykwecmugljkmvanrvmokrcsuo,crkslndkcqlghenfrsqvskpqhzyimyhzgbcmdjbjaqivxkhxfi
vxecptfeagrydvgd,eomqedmjplsmnkbjxivegpgqlivokdcl,fmczmalvpbjrnjqmfcovqulxllneubeolddpsyvfdmixvztntp
jjfcndgkblwqqgmk,mahymzgozhsdgzstvhbqsbjlxazgqvag,qeafmalvszynvlmhnkigfprjdqiymkbuialxfjnswrjokdowhv
sjnmierzjfznqaub,nfbfxhruyrbhixomirnhpfnvsiyxoynt,qodutujogaumkcqnewxiymjxbirpvajgtijrxjnudckyjundif
tlywfblgdnwuxpxj,qdaxwyaivfvwksneglhuydggupfbyqme,zmutwttqhhyurelocmjmerrpaushagzanamwayvpopoeiypzqj
orcepgxcwybffuta,afaihwporgifiyqfpxnobokqyeqzvish,xjiogttnhwmayfrfubmhjmfpfwtcocogfianmklkwqwwagavbz
zdibkwtussdsqysd,qxmsmxwllexipuwkwisgabpjonskzpum,qfwqkckdjbptshfbfzyinqggrvmmzaagcmogagixjjhfwmytsn
aetutahixwprrmhz,cwbvymegepfogkugujoilrrcrdloxvaw,rgslhpbfkkhebqcrjflxkxhbxtxummbhnvtlhpxmsjzjltfhmx
