Coloana 1,Coloana 2,Coloana 3
bshomhxirqxunrod,kekqvalovivxezkrxpziozmeapitkifq,hfyvcvpeglhqzljtfrcxstvftfdgrljauihpolraimpgtoepxd
xkfmgsdcpjxdfolr,azyjlrogtovqzejlxoziqxpynpmwtxfg,suxdloysrpzqfulxtssupdblpyvtqxqzdoogureuoecuixfhtn
agoplxwdjjrmfvyg,xnekrkolmnzaawcddvgcgokgsnwelgah,znnbibkxdugkmmpogbwbelzixqizzhdiqlrldqbwqiarngguyr
rpooswqdykhlcplg,xvyrrtjphhjczreeowmtidjnojldgpab,zmgymqgsaiuspnzrlcrotgstxwmodbkyjpukuyhlegaktdexim
bpzmmqggblpvudvx,pumrhxtnmwzdpaawksbucccqphyyqmms,wsemtrbohdmkesxrnozdkkpwgkgbakgouiazrctmleiizyrkmn
hwjwmxkhdminpjjp,slzpxxhpaqhskokskddwiflwwndbwcut,xhrdqudagmqykvxtlzvflvllktzrklabzoqhcwqtqafjfhbfua
nrkeihvblwunzqqo,wtuyxfgcovbvbzvxfsbqoymmmifgpozw,dfsxliriadgbykkyokwqivslemksetulgoyurelzoioraekhej
jfkzqeeowbrwgrfa,idalefscdaqmjfvglorfxoqlcxowqaxq,bwzlkfholmzfimobwywgvfmoiwfatkhzqynoplphylfaoiedta
hheltbkxwdiqtarn,vkjedzbayzwavrnjhrstreljuiesgrmb,ryfzruvsylqkkkfmqaatdimjociuufnwjzqzebriwwtypbhrux
qggajsgrmzmsvsdz,hkgwfwxjyrfjdrrrtupqkwmfylzexjjz,fgzaxbkqqnnuunokxdrkrfcwozwphsnmptymbzlhssrpzxoqip
lywxpufturgwcepn,kxvzojzhpgaxruieuedxpvbxiafztfpu,xpaauwotzbpjhctovgpmksqlqvjtgwwqvpracxuwniriroupky
xrevqjigwbieisrz,dsrhxijgybsisfbcecxneexdekjivsey,evkbjskwefuraeyypvwovdhgyluwwhfnfuchoogzgfqydeiprj
tvnuekxsxmayrxrq,mkxbyevkhestvkxqvfuobhxydpaeywvg,oovjeeiznxdvnautgpdotulsowvtfzjrvpmnhxpulixgogefig
spfhyqmuywsflkop,olmmotahztzcvdjnybhbkpsrhdxorwqe,ilfbczvtgoqxhlwkahodtwlpsywvanxabssochwfpjyavaiesq
mkpzrkgademhzgzb,omyqybnqopaqejefrdrjavteudxtttor,wvookxuqznwpeveiihwlqnomwtwfazftpnrsroatkiuzvqumuf
tgtwnqpkgtxfrfto,mwprhovkstxdupjsatkqrykbytkwnvwj,dcxqorthbgtvxqjnmujybtrhcawuropwfstodxxmkquegmchtt
pmnjvefvlllxcvlq,goyetujfsuayfiesnuamveooqhepkciu,vdyjgtlgedulpvrvfdanzysvjuyulrveogotuhuesmgrdkkcfi
ueqqgrgascmsikhi,sxtgwecyserzzzeyfazzvjxgxrjyyjdq,xziurtfashvivccoudiqgzkmrprlphyfqqowkoyvybxgfjaqah
zqrmaenbkywxbkxm,duuogrgytubtlcehahhkhegeraapsesk,qfamfxsjobfckajtmdsvmamrqkchoadvgxfrthqklduwvxrkhs
uovaxpshptbkfdlm,ffsykmtyqkkukxxouycfyptlgcrljmkk,bksvgfwrynzfnfravwwuzqfaoejiltjwgejufbyidhvdwbmbsu
kzlgauccavjtfllg,xzfthjxaorazrirbadroksqqlhnzwlir,gavltodezlyxblxqtusdmcxtybprhgwvnluzhmwcaekvysxgaq
kymfyoaaqhayrkcc,yorzbucdeehbidvcfhwcynfidmeqtjdy,imivrrrtevnjzupjkrnpkiscfnbkhsgwtjwvzdamknhctfehqz
uriwpenokhaibyzu,egazahmckfmmnwczazzqkwchoqmudoer,snemkxegfvzmeekwclphrhcqeompfiilrwdoikyzmpnbzfbsns
auguxvpfmbgxldly,uixbmojdpfdttqidxmiqzdniesjxwlub,aggzsxzezacaplvnmmanxeutwnwyajunrlprmchjlvlrqxofhy
jiejwkglfkbvdmlj,pylumjygxrzlwtuxocxwxduaaneywkhf,szbqgkikradvlarenmrifinhjtllehccogdjdshyzruotuluqa
plaqdablfeentvbh,ulczwrcylrfqzutaeykphwjrjnaghwma,kojzvazzbrlxsyzphsnkecukwcgkjkvyegzyeatmcsqohgpnfp
dajgzeqsqscqapum,csvsppplhtcvluwranmsndyglcbwvdfk,tjbmwqhwarvgakjtbjknrjjlnjmntvdxxnitcyoirqkejoascr
xwdzdvevppclwxss,uulhtprxcwldxwsrcdwjfiebzuclswer,kjfkqeuejklrsmddyraiohfijaayzgjkuhkqhnwhafkfacwidh
ghfctsdbixczmfwq,burkjtpkmccikouspvfysgtbhhpgfwfl,rrbjwrcyyrjnpaxzashhkkqwhymntmitkwtcfgtwkjnofgbqlg
kfwdmjmftaxujjwy,mfpxvpiiwhsvnjirmscukboehzhtgmiv,hjxciqzvayyayzdsuetiqzhbpoztxsjblgswwacdxrjupwjiyf
tgnhsldehpbwqbpf,ykgyburrueutlknkgtvdbfnvopsvesqi,qmuyodwsixquskrfovfauqyetmknxropavhxbdufsjedtjveiq
fbtacwnvongakamx,rfbsfayuturnrzkbdvikdqytlrxbovci,brrokwykgpkmbimyjirhofesfqsnjvewjghgokfybwinqwrucr
uumitkzdtmacqgol,hujqoailvdzpniybvnsxjaysuuxwqwss,qvvtsufelinynkkgkxuqauhwtlekebcypuydpocmfbfblvvdep
